drinks			12
kaffi	coffee	커피
kók	coke	콜라
heitt súkkulaði	hot chocolate	핫초콜릿
drykkur	drink	음료
mjólk	milk	우유
ölkelduvatn	mineral water	미네랄 워터
appelsínusafi	orange juice	오렌지주스
gos	soda	탄산음료
te	tea	차
vatn	water	물
ég drekk	I drink	저는 마셔요
mér líkar illa við	I dislike	저는 싫어해요
food			17
brauð	bread	빵
morgunmatur	breakfast	아침 식사
ávextir	fruits	과일
ostur	cheese	치즈
egg	egg	계란
fiskur	fish	생선
gaffall	fork	포크
súpa	soup	수프
sveppur	mushroom	버섯
hnífur	knife	칼
sítróna	lemon	레몬
kjöt	meat	고기
skeið	spoon	숟가락
sykur	sugar	설탕
salat	salad	샐러드
ég borða	I eat	저는 먹어요
ég elda	I cook	저는 요리해요
fruits			17
plóma	plum	자두
kíví	kiwi	키위
brómber	blackberry	블랙베리
hunangsmelóna	honeydew melon	허니듀 멜론
ferskja	peach	복숭아
kirsuber	cherry	체리
bláber	blueberry	블루베리
epli	apple	사과
ólífa	olive	올리브
ananas	pineapple	파인애플
jarðarber	strawberry	딸기
hindber	raspberry	산딸기
vínber	grape	포도
vatnsmelóna	watermelon	수박
pera	pear	배
banani	banana	바나나
ég tíni	I pick	저는 따요
vegetables			17
lárpera	avocado	아보카도
baun	bean	콩
spergilkál	broccoli	브로콜리
hvítkál	cabbage	양배추
gulrót	carrot	당근
blómkál	cauliflower	콜리플라워
maís	corn	옥수수
agúrka	cucumber	오이
hvítlaukur	garlic	마늘
kál	lettuce	상추
laukur	onion	양파
steinselja	parsley	파슬리
kartafla	potato	감자
grasker	pumpkin	호박
radísa	radish	무
hrísgrjón	rice	쌀
tómatur	tomato	토마토
restaurant			17
öskubakki	ashtray	재떨이
reikningur	bill	계산서
flaska	bottle	병
kokkur	chef	요리사
meðlæti	condiments	양념
eftirréttur	dessert	디저트
skyndibiti	fast food	패스트푸드
matarbíll	food truck	포장마차
matseðill	menu	메뉴판
servíetta	napkin	냅킨
götumatur	street food	길거리 음식
borðdúkur	tablecloth	식탁보
þjórfé	tip	팁
tannstöngull	toothpick	이쑤시개
bakki	tray	쟁반
gengilbeina	waitress	웨이트리스
ég borga	I pay	저는 지불해요
more_foods			17
mandla	almond	아몬드
beikon	bacon	베이컨
smjör	butter	버터
jarðhneta	peanut	땅콩
kókoshneta	coconut	코코넛
skinka	ham	햄
hamborgari	hamburger	햄버거
heslihneta	hazelnut	헤이즐넛
pylsa	hotdog	핫도그
pasta	pasta	파스타
pistasíuhneta	pistachio	피스타치오
lax	salmon	연어
pylsa	sausage	소시지
valhneta	walnut	호두
jógúrt	yogurt	요거트
ég helli	I pour	저는 쏟아요
ég þjóna	I serve	저는 제공해요
spices_and_sweets			17
basilíka	basil	바질
kex	cracker	비스킷
kaka	cake	케이크
chilipipar	chili	고추
súkkulaði	chocolate	초콜릿
kanill	cinnamon	시나몬
smákaka	cookie	쿠키
engifer	ginger	생강
muffins	muffin	머핀
kleinuhringur	doughnut	도넛
hveiti	flour	밀가루
hunang	honey	꿀
rjómaís	ice cream	아이스크림
sleikjó	lollipop	막대사탕
pipar	pepper	후추
salt	salt	소금
vanilla	vanilla	바닐라
cooking			17
blandari	blender	블렌더
dós	can	캔
matreiðslubók	cookbook	요리책
tappatogari	corkscrew	코르크 따개
rifjárn	grater	강판
safapressa	juicer	주서기
ausa	ladle	국자
hrærivél	mixer	믹서기
hræriskál	mixing bowl	믹싱볼
hnetubrjótur	nutcracker	호두까개
piparkvörn	pepper mill	후추 분쇄기
svampur	sponge	스펀지
sigti	strainer	체
hitamælir	thermometer	온도계
tímamælir	timer	타이머
brauðrist	toaster	토스터
þeytari	whisk	거품기
pastries			15
snittubrauð	baguette	바게트
ofnskúffa	baking tray	베이킹 트레이
bolla	bun	번
sælgæti	candy	사탕
kasjúhneta	cashew nut	캐슈너트
kex	crackers	크래커
smjördeigshorn	croissant	크루아상
ég baka	I bake	저는 빵을 구워요
hnetusmjör	peanut butter	땅콩버터
baka	pie	파이
pítsa	pizza	피자
saltkringla	pretzel	프레첼
graskersfræ	pumpkin seed	호박씨
kökukefli	rolling pin	밀대
skonsa	scone	스콘
tea_and_coffee			17
svunta	apron	앞치마
barþjónn	barista	바리스타
bið eftir drykk	brew time	우려내는 시간
kókosvatn	coconut water	코코넛워터
kaffibaun	coffee bean	커피콩
kaffikvörn	coffee grinder	커피 분쇄기
espressó	espresso	에스프레소
espressóvél	espresso machine	에스프레소 기계
uppáhellt kaffi	filter coffee	필터 커피
pressukanna	French press	프레스 커피포트
kokkahattur	chef's hat	요리사 모자
ég smakka	I taste	저는 맛을 봐요
mjólkurkaffi	latte	라떼
kaffimál	take-away cup	휴대용 컵
tepoki	tea bag	티백
tesía	tea egg	티에그
telauf	tea leaf	찻잎
herbs			18
piparmynta	peppermint	페퍼민트
sítrónugras	lemongrass	레몬그라스
piparrót	horseradish	고추냉이
rósmarín	rosemary	로즈메리
salvía	sage	세이지
negull	clove	정향
fenníka	fennel	회향
lofnarblóm	lavender	라벤더
ginseng	ginseng	인삼
kattarminta	catnip	캣닙
garðminta	spearmint	스피아민트
meiran	marjoram	마조람
saffran	saffron	사프란
graslaukur	chives	쪽파
timjan	thyme	타임
minta	mint	민트
ég legg í bleyti	I infuse	저는 우려내요
ég rennbleyti	I soak	저는 적셔요
more_vegetables			18
blaðlaukur	leek	파
aspas	asparagus	아스파라거스
baun	pea	콩
rósakál	brussels sprout	방울양배추
kínakál	bok choy	청경채
ætiþistill	artichoke	아티초크
eggaldin	eggplant	가지
kúrbítur	squash	호박
sæt kartafla	sweet potato	고구마
spírur	sprouts	새싹
grænkál	kale	케일
rauðrófa	beetroot	비트루트
butternut grasker	butternut squash	버터넛 호박
sojabaunir	soybeans	콩
ég sýð	I boil	저는 끓여요
ég soðsteiki	I braise	저는 푹 삶아요
ég flysja	I peel	저는 껍질을 벗겨요
ég sker í bita	I dice	저는 깍둑썰어요
exotic_fruits			18
ástaraldin	passion fruit	패션프루트
granatepli	pomegranate	석류
fíkja	fig	무화과
mangó	mango	망고
dáraaldin	durian	두리안
papæjualdin	papaya	파파야
trönuber	cranberry	크랜베리
greipaldin	grapefruit	자몽
rabarbari	rhubarb	루바브
daðla	date	대추
kantalúpmelóna	cantaloupe	멜론
stikilsber	gooseberry	구스베리
